"species","X","latitude","longitude","prot_perc_cat"
"Apostolepis barrioi*",1254,-22.2167,-54.8,"<1%"
"Apostolepis barrioi*",1255,-21.4917,-56.4031,"<1%"
"Apostolepis barrioi*",1256,-21.6661,-48.4472,"<1%"
"Apostolepis barrioi*",1257,-21.6417,-48.35,"<1%"
"Apostolepis barrioi*",1258,-22.554,-45.78,"<1%"
"Apostolepis barrioi*",1259,-21.1833,-47.8167,"<1%"
"Apostolepis barrioi*",1260,-21.8,-54.5333,"<1%"
"Apostolepis barrioi*",1261,-21.2333,-48.8,"<1%"
"Apostolepis barrioi*",1262,-21.7,-47.2667,"<1%"
"Apostolepis barrioi*",1263,-21.6672,-47.3114,"<1%"
"Apostolepis barrioi*",1264,-18.9167,-48.2833,"<1%"
"Apostolepis barrioi*",1265,-23.44,-46.76,"<1%"
"Apostolepis barrioi*",1266,-22.79,-51.88,"<1%"
"Apostolepis barrioi*",1267,-23.4667,-56.5167,"<1%"
"Apostolepis barrioi*",1268,-22.5833,-56.0333,"<1%"
"Apostolepis barrioi*",1269,-24.5,-56.6833,"<1%"
"Apostolepis barrioi*",1270,-25.54,-56.62,"<1%"
"Apostolepis barrioi*",1271,-23.81,-56.45,"<1%"
"Apostolepis vittata",1381,-15.121,-55.76,"<1%"
"Apostolepis vittata",1382,-15.461,-55.7503,"<1%"
"Apostolepis vittata",1383,-14.8811,-55.7781,"<1%"
"Apostolepis vittata",1384,-12.85,-51.7667,"<1%"
"Bachia bresslaui",2074,-17.9833,-53.6167,"<1%"
"Bachia bresslaui",2075,-22.1833,-52.7167,"<1%"
"Bachia bresslaui",2076,-15.7099,-48.0224,"<1%"
"Bachia bresslaui",2077,-16.0111,-47.9436,"<1%"
"Bachia bresslaui",2078,-15.3,-55.85,"<1%"
"Bachia bresslaui",2079,-18.25,-52.8833,"<1%"
"Bachia bresslaui",2080,-17.2167,-46.8667,"<1%"
"Bachia bresslaui",2081,-22.6333,-56.05,"<1%"
"Boana buriti",2191,-15.776,-47.7978,"<1%"
"Boana buriti",2192,-15.4415,-46.5996,"<1%"
"Boana buriti",2193,-16.0686,-46.6112,"<1%"
"Boana buriti",2194,-15.4529,-46.6042,"<1%"
"Boana buriti",2195,-17.1087,-46.8719,"<1%"
"Boana buriti",2196,-16.0946,-47.9852,"<1%"
"Boana jaguariaivensis",2243,-24.1667,-49.6667,"<1%"
"Boana jaguariaivensis",2244,-24.4667,-50.0167,"<1%"
"Boana jaguariaivensis",2245,-24.6875,-50.2103,"<1%"
"Bokermannohyla sazimai",2450,-19.558,-46.5952,"<1%"
