Leptodactylus kilombo*,621,11371,33,374,3385,5168,,1380,,33,46,113,,29,5090,,869,2,,0,482
Leptodactylus pustulatus,115624,375359,2671,42436,72293,177013,886,36705,3,2719,2892,311,128,5994,96040,1046,12595,243,26,210,1576
Leptodactylus sertanejo,163910,368714,24217,56217,83127,402344,40524,113358,3,6997,3466,1306,402,12778,153948,1046,22411,3474,2943,475,1850
Leptodactylus tapiti,13,105,1,15,199,17,,4,,3,1,,,0,10,,2,,,,
Liotyphlops schubarti,97,38,44,5,2,21,178,168,,26,1,,,2,65,,13,40,6,3,
Liotyphlops taylori*,133,162,,1,0,62,,6,,,2,,,0,,,0,,,,
Lonchophylla bokermanni,1861,7334,1563,18,486,563,,256,,14,32,91,,88,0,,3,12,2,0,
Lonchophylla dekeyseri,128331,476689,5319,46591,93278,250827,3665,55001,168,3644,3791,431,305,6912,136312,1046,18641,266,36,216,1913
Lycalopex vetulus,203219,534892,27370,56914,104800,421471,40900,121238,168,7273,4606,2010,401,14238,176156,1046,25781,3494,2954,506,1918
Lygophis paucidens,164473,493324,14947,53523,87158,375083,10086,81953,168,4536,3984,432,289,8627,153046,1046,20806,375,160,219,1643
Lysapsus caraya,6322,6282,1,13977,246,3742,,422,,18,54,,,763,477,158,111,,,,
Manciola guaporicola,140838,179846,10778,41675,25860,280075,32098,67271,,4691,1888,252,342,7562,114231,297,18306,1724,1451,149,345
Melanopareia torquata,221891,514134,29591,58472,102638,447074,41602,126417,168,7594,4501,2307,438,14361,188329,1046,26770,3533,3020,539,1918
Micrablepharus atticolus,128929,179522,8103,39752,24412,244271,32701,66975,,4655,1935,156,305,7251,113415,263,18007,1538,1518,158,325
Microakodontomys transitorius,48,275,0,9,168,51,,46,,94,11,,,8,22,,1,0,0,,
Micrurus brasiliensis,35674,232638,2148,12443,58475,73433,247,17871,3,600,1756,303,60,2806,39107,1045,4647,200,54,218,1568
Micrurus tricolor,14347,8329,123,1339,2312,22188,162,4238,,235,44,1,79,185,2807,,193,,,,
Monodelphis kunsi,197562,289288,24183,54734,48451,420616,41477,113396,,7066,2896,780,428,13199,149582,1029,23111,3371,3005,317,516
Monodelphis sanctaerosae,80,150,0,0,0,60,,9,,1,1,,,60,6,,2,,,,
Myiothlypis leucophrys,143946,302281,22291,47945,65263,378300,37370,101229,3,5903,2745,1423,376,11329,143132,735,21688,3071,2113,369,1773
Neothraupis fasciata,232196,521444,28979,58718,103627,455060,41602,125718,168,7684,4598,2227,436,14380,188679,1046,26812,3523,3017,539,1918
Nothura minor,98009,112173,23689,17607,23578,299679,41189,97771,,6298,1755,1108,339,8898,95632,,13883,3337,3005,330,68
Nyctiprogne vielliardi,1090,17910,649,390,2612,7978,162,2467,,29,178,,1,171,556,,263,13,8,11,
Nystalus striatipectus,24569,13665,2366,3663,1461,72502,2284,12786,,441,137,2,3,308,18628,,1362,,,,3
Odontophrynus cultripes,49695,59741,11693,7547,20723,137399,33422,68983,,4871,1181,663,188,5763,52807,,9336,3273,2206,230,7
Odontophrynus juquinha*,2274,13414,1881,88,1880,4458,,1514,,41,96,1059,1,54,11,,18,7,4,0,
Odontophrynus monachus,20,25,1,7,106,156,0,32,,,0,3,,,1,,2,4,0,0,
Oecomys cleberi,72774,92316,12217,13466,18609,240440,18632,58755,,3874,1239,133,236,4452,78189,,10938,581,606,36,128
Oligoryzomys moojeni,22955,109448,557,3246,37456,50712,528,12887,3,1262,1121,272,122,2014,30603,,2594,78,3,27,1495
Oligoryzomys rupestris,38,132,0,35,223,2,,6,,,0,44,,0,,,,,,,
Oreobates antrum*,32,589,,4,103,325,,187,,3,3,24,,11,3,,1,,,,
Oreobates heterodactylus,2862,7495,30,125,88,4741,0,472,,252,74,,60,201,96,,38,,,,0
Oreobates remotus,78,670,0,15,3,113,,20,,,8,0,,9,6,,9,1,,,
Oxymycterus delator,141994,427458,28569,47576,83184,394073,41218,121650,168,7006,3981,1984,313,12682,147770,793,20831,3520,3016,541,1642
Oxymycterus itapeby,137,9,159,28,4,13,,37,,1,0,,,0,204,,6,0,0,0,
Paroaria baeri,12273,19048,41,26570,365,16866,,1747,,38,138,,1,1412,817,968,460,,,,
Penelope ochrogaster,94203,248843,5350,44725,42920,233320,5331,48452,0,3220,2007,381,283,6111,82427,1046,14063,160,77,16,548
Phaethornis nattereri,141127,325267,2350,41497,58730,160816,453,24097,3,1350,2575,115,135,4913,89489,1046,12344,2,,0,584
Phalotris cerradensis*,4,66,0,6,215,10,,1,,,0,,,0,48,,17,,,0,0
Phalotris concolor,618,8037,495,134,773,4394,0,1255,,67,52,0,2,78,68,,26,1,4,2,
Phalotris labiomaculatus,6087,24254,142,764,8335,3468,84,398,,36,52,9,,504,1354,19,360,,,,
Phalotris lativittatus,6642,710,3693,1617,70,5418,19072,11491,,1083,84,,4,1177,3472,,579,233,1504,170,
Phalotris matogrossensis,58209,49061,10548,11754,7009,194313,17871,46060,,2385,600,105,115,3587,54484,,8170,98,564,27,49
Phalotris mertensi,34884,13497,16950,8286,4792,117864,35138,51898,,3208,440,291,108,5840,28413,,4448,3128,2919,304,1
Phalotris multipunctatus,71,11,79,17,1,65,99,126,,16,1,,,3,159,,15,0,41,1,
Phalotris nasutus,144840,166157,16687,40907,25815,295273,36846,77205,,5312,1858,343,318,8018,116958,2,18845,2574,2356,234,345
Phasmahyla jandaia,1087,781,274,19,134,606,,437,,10,3,336,2,2,1,,1,6,,0,
Philodryas livida,28869,11952,10877,7012,1972,104275,13767,23300,,1036,215,2,3,2418,23686,,2301,113,1129,107,6
Philodryas mattogrossensis,44884,26330,10166,10440,3912,150219,26720,36734,,1675,351,2,16,3392,36956,,4354,132,736,86,17
Phyllomyias reiseri,63669,175809,8592,11063,40582,214524,7986,52937,,3227,1886,317,175,3784,79919,,10840,333,73,208,1580
Phyllomys brasiliensis,289,218,151,24,302,840,,464,,12,17,,0,70,13,,10,0,0,,
Phyllomys centralis,357,93,91,9,62,124,,135,,359,7,43,21,28,4,,0,0,,0,
Phylloscartes roquettei,12564,72029,8551,1599,17772,38662,212,14763,,531,696,1183,32,1345,8070,,1256,129,79,61,7
Physalaemus atim*,119,8,10,2,0,213,0,142,,9,2,,0,3,60,,16,,,,
Physalaemus centralis,132542,325381,18819,52414,73168,329396,37728,100042,3,6074,2633,1483,298,11564,127820,1046,20437,3409,2819,431,1589
Physalaemus claptoni*,103,46,6,4,49,22,,29,,,0,102,,0,0,,0,,,,
Physalaemus deimaticus,710,287,17,9,123,197,,297,,3,3,698,,4,1,,1,,,,
Physalaemus evangelistai,2197,434,165,20,283,646,,645,,35,5,935,69,5,1,,1,6,,0,
Physalaemus marmoratus,97358,168783,24297,19162,40978,311769,40481,97926,,6030,1990,1763,361,9853,93029,,14983,3348,2938,394,448
Physalaemus nattereri,164038,347815,21545,56652,81243,400119,39993,104655,3,6057,2887,685,362,13010,153932,1046,22539,3385,2542,424,1838
Pithecopus araguaius*,172,301,3,138,3,350,,39,,31,4,,,42,18,,7,,,,
Pithecopus ayeaye,3862,1234,646,263,2273,9912,246,6006,,250,35,258,10,1007,1875,,585,976,77,13,
Pithecopus azureus,183191,505373,22128,54598,93230,407483,18381,100593,168,5299,4313,1769,376,10981,160685,1046,22639,2090,829,284,1821
Pithecopus centralis,8896,17557,345,720,2497,18392,0,3722,,403,151,63,59,520,9353,,1003,,,,26
Pithecopus megacephalus,2612,13823,1949,142,2224,5924,,2418,,98,106,1291,3,65,23,,38,9,2,0,
Pithecopus oreades,10818,18519,633,552,5608,19946,55,7705,,1202,381,7,61,1631,14137,,1037,275,33,2,4
Placosoma cipoense,28,49,0,5,42,12,,10,,1,0,117,,0,,,0,,,,
Polystictus superciliaris,18380,42047,9890,1277,9512,48581,435,22434,,1101,445,1893,108,2384,5191,,1466,1571,142,31,0
